date_from,date_to,course_name,course_url,provider_courses_url,provider_name
2026-02-25,2030-12-31,Masterclass in Clinical Genomics,https://training.scilifelab.se//events/masterclass-in-clinical-genomics,https://training.scilifelab.se/events,SciLifeLab
2026-03-16,2026-04-13,Train the Trainer (Online),https://training.scilifelab.se//events/train-the-trainer-online-546d1cc7-f45b-4e2d-b4d3-b366e717272d,https://training.scilifelab.se/events,SciLifeLab
2026-04-10,2026-04-10,Taha Ahmed: the libre way to do open science,https://open-science-community-uppsala.github.io/open_science_community_uppsala/events/events/,https://open-science-community-uppsala.github.io/open_science_community_uppsala/events/events/,OSCU
2026-04-13,2026-04-27,Single-Cell RNA-Seq Data Analysis,https://training.scilifelab.se//events/single-cell-rna-seq-data-analysis-6e1acebc-a282-4354-8136-8b390bca2fd1,https://training.scilifelab.se/events,SciLifeLab
2026-04-13,2026-04-17,Vibrational Spectroscopy User License Course (2 ECTS),https://training.scilifelab.se//events/vibrational-spectroscopy-user-license-course-2-ects-e1124938-a611-4f97-b1ca-91ed190f1342,https://training.scilifelab.se/events,SciLifeLab
2026-04-15,2026-04-15,Operationalizing AI: MLOps x LLMOps,https://mimer-ai.eu/event/operationalizing-ai-mlops-x-llmops/,https://mimer-ai.eu/events-and-learning,Mimer
2026-04-20,2026-04-20,Introduction to Python and running Python in an HPC environment,https://www.hpc2n.umu.se/events/courses/2026/spring/Python-in-HPC,https://www.hpc2n.umu.se/events/courses,HPC2N
2026-04-20,2026-04-20,Introduction to Python and Using Pythonin an HPC environment,https://www.hpc2n.umu.se/events/courses/2026/spring/Python-in-HPC,https://www.naiss.se/training,NAISS
2026-04-20,2026-04-24,NBIS/Elixir Workshop - Tools for Reproducible Research,https://training.scilifelab.se//events/nbis-elixir-workshop-tools-for-reproducible-research,https://training.scilifelab.se/events,SciLifeLab
2026-04-21,2026-04-21,Workshop 21 April: Visualize your research using Python,https://infravis.se/workshop-visualize-your-research-using-python-2/,https://infravis.se/news-events,InfraViz
2026-04-21,2026-04-21,Scientific Machine Learning applied to Neuroscience,https://mimer-ai.eu/event/scientific-ml-applied-to-neuroscience/,https://mimer-ai.eu/events-and-learning,Mimer
2026-04-22,2026-04-23,Moving your HPC workloads to LUMI (Hybrid),https://lumi-supercomputer.eu/events/lumi-intro-course-april2026/,https://lumi-supercomputer.eu/events,CSC
2026-04-22,2026-04-22,WACQT Industry Workshop 2026 (External event),https://enccs.se/events/wacqt-industry-workshop-2026/,https://enccs.se/events,ENCCS
2026-04-22,2026-04-24,Introduction to Python and Using Pythonin an HPC environment (continued),https://www.hpc2n.umu.se/events/courses/2026/spring/Python-in-HPC,https://www.naiss.se/training,NAISS
2026-04-29,2026-04-29,Hands-on Kubernetes as a User,https://enccs.se/events/kubernetes-as-a-user/,https://enccs.se/events,ENCCS
2026-04-29,2026-04-29,Hands-on Kubernetes as a User,https://mimer-ai.eu/event/hands-on-kubernetes-as-a-user/,https://mimer-ai.eu/events-and-learning,Mimer
2026-05-04,2026-05-08,Programming Formalisms,https://docs.uppmax.uu.se/courses_workshops/programming_formalisms/,https://www.naiss.se/training,NAISS
2026-05-04,2026-05-08,Programming Formalisms,https://training.scilifelab.se//events/programming-formalisms,https://training.scilifelab.se/events,SciLifeLab
2026-05-04,2026-05-08,NBIS workshop in Neural Nets and Deep Learning,https://training.scilifelab.se//events/nbis-workshop-in-neural-nets-and-deep-learning-2b2be2aa-b060-4df7-b3fc-4bdad7a1fd8b,https://training.scilifelab.se/events,SciLifeLab
2026-05-04,2026-05-07,Open Science in the Swedish Context,https://training.scilifelab.se//events/open-science-in-the-swedish-context-c09c45db-0ac2-4a2c-8fdc-6fed4bcc3742,https://training.scilifelab.se/events,SciLifeLab
2026-05-04,2026-05-08,Programming Formalisms,https://docs.uppmax.uu.se/courses_workshops/programming_formalisms,https://docs.uppmax.uu.se/courses_workshops/courses_workshops,UPPMAX
2026-05-05,2026-05-07,Advanced Data Visualization,https://training.scilifelab.se//events/advanced-data-visualization-e7d20643-c6fc-4d96-8b2c-d06aca09fd80,https://training.scilifelab.se/events,SciLifeLab
